HD;h;b;ts;tg;r;h - 2c;ASteg;A;G;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;iz,g;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;
;mm;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;cm;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260 X 54,1;244;260;6,5 ;9,5 ;24;177;15,24 ;68,97 ;54,14 ; 7.981    ; 654    ; 357    ;10,8  ; 2.788    ; 214    ; 164    ;6,4  ;30,3  ; 382.576    ;152    ;6,81; 1.655    ; 211    ; 17.147    ; 685    ; 7.866    ;365    ; 8.026    ; 90.358    ;
260 X 68,2;250;260;7,5 ;12,5 ;24;177;17,81 ;86,82 ;68,15 ; 10.455    ; 836    ; 460    ;11,0  ; 3.668    ; 282    ; 215    ;6,5  ;52,4  ; 516.352    ;154    ;6,91; 2.084    ; 247    ; 22.074    ; 901    ; 10.324    ;604    ; 10.695    ; 120.413    ;
260 X 93;260;260;10,0 ;17,5 ;24;177;24,25 ;118,4  ;92,98 ; 14.919    ; 1.148    ; 641    ;11,2  ; 5.135    ; 395    ; 301    ;6,6  ; 124    ; 753.651    ;158    ;6,99; 2.843    ; 336    ; 30.790    ; 1.261    ; 14.454    ;1159    ; 15.289    ; 172.127    ;
260 X 114;268;262;12,5 ;21,5 ;24;177;30,81 ;145,7  ;114,4  ; 18.912    ; 1.411    ; 800    ;11,4  ; 6.456    ; 493    ; 376    ;6,7  ; 222    ; 978.960    ;161    ;7,08; 3.498    ; 427    ; 38.393    ; 1.561    ; 18.059    ;1758    ; 19.240    ; 218.278    ;
260 X 142;278;265;15,5 ;26,5 ;24;177;38,98 ;180,3  ;141,5  ; 24.331    ; 1.750    ; 1.008    ;11,6  ; 8.236    ; 622    ; 475    ;6,8  ; 407    ; 1.299.715    ;167    ;7,19; 4.326    ; 540    ; 48.367    ; 1.946    ; 22.811    ;2682    ; 24.473    ; 280.819    ;
260 X 172;290;268;18,0 ;32,5 ;24;177;46,35 ;219,6  ;172,4  ; 31.307    ; 2.159    ; 1.262    ;11,9  ; 10.449    ; 780    ; 596    ;6,9  ; 719    ; 1.728.347    ;173    ;7,31; 5.271    ; 642    ; 60.567    ; 2.414    ; 28.619    ;3985    ; 31.077    ; 360.646    ;
260 X 225;309;271;24,0 ;42,0 ;24;177;64,08 ;286,6  ;225,0  ; 43.752    ; 2.832    ; 1.698    ;12,4  ; 13.974    ; 1.031    ; 792    ;7,0  ; 1.545    ; 2.482.953    ;181    ;7,41; 6.878    ; 888    ; 81.497    ; 3.154    ; 37.998    ;6672    ; 42.110    ; 494.140    ;
260 X 299;335;278;31,0 ;55,0 ;24;177;86,80 ;380,5  ;298,7  ; 64.219    ; 3.834    ; 2.363    ;13,0  ; 19.773    ; 1.423    ; 1.095    ;7,2  ; 3.437    ; 3.860.130    ;195    ;7,63; 9.132    ; 1.203    ; 113.436    ; 4.237    ; 52.552    ;11447    ; 59.322    ; 714.104    ;
320 X 74,2;301;300;8,0 ;11,0 ;27;225;23,20 ;94,58 ;74,24 ; 16.447    ; 1.093    ; 598    ;13,2  ; 4.959    ; 331    ; 253    ;7,2  ;55,9  ; 1.040.738    ;218    ;7,82; 2.270    ; 321    ; 28.709    ; 915    ; 12.138    ;586    ; 13.261    ; 172.260    ;
320 X 97,6;310;300;9,0 ;15,5 ;27;225;26,51 ;124,4  ;97,63 ; 22.929    ; 1.479    ; 814    ;13,6  ; 6.985    ; 466    ; 355    ;7,5  ; 108    ; 1.512.359    ;221    ;7,99; 2.985    ; 367    ; 39.074    ; 1.289    ; 17.034    ;1066    ; 18.975    ; 246.497    ;
320 X 127;320;300;11,5 ;20,5 ;27;225;34,44 ;161,3  ;126,7  ; 30.824    ; 1.926    ; 1.075    ;13,8  ; 9.239    ; 616    ; 470    ;7,6  ; 225    ; 2.068.712    ;225    ;8,06; 3.872    ; 477    ; 51.582    ; 1.704    ; 22.538    ;1836    ; 25.522    ; 331.547    ;
320 X 158;330;303;14,5 ;25,5 ;27;225;44,15 ;201,2  ;158,0  ; 39.644    ; 2.403    ; 1.359    ;14,0  ; 11.842    ; 782    ; 597    ;7,7  ; 420    ; 2.740.510    ;231    ;8,18; 4.830    ; 612    ; 65.242    ; 2.141    ; 28.645    ;2857    ; 32.600    ; 427.724    ;
