HEA;h;b;ts;tg;r;h - 2c;ASteg;A;G;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;iz,g;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;
;mm;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;cm;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100  ;96 ;100;5,0 ;8,0 ;12;56  ;4,40 ;21,24 ;16,67 ; 349    ;72,8  ;41,5  ;4,06 ; 134    ;26,8  ;20,6  ;2,51 ;5,24 ; 2.581    ;22,0  ;2,66;509,7  ;60,97 ; 1.992,3  ;221,7  ;987,37 ;94,28 ;975,49 ; 4.224,0  ;
120  ;114 ;120;5,0 ;8,0 ;12;74  ;5,30 ;25,34 ;19,89 ; 606    ; 106    ;59,7  ;4,89 ; 231    ;38,5  ;29,4  ;3,02 ;5,99 ; 6.472    ;31,8  ;3,21;608,1  ;73,44 ; 2.867,8  ;266,0  ; 1.412,5  ;113,96 ;1410,0  ; 7.326,7  ;
140  ;133 ;140;5,5 ;8,5 ;12;92  ;6,85 ;31,42 ;24,66 ; 1.033    ; 155    ;86,7  ;5,73 ; 389    ;55,6  ;42,4  ;3,52 ;8,13 ; 15.064    ;43,6  ;3,76;754,0  ;94,88 ; 4.163,9  ;329,8  ; 2.036,4  ;152,27 ;2052,9  ; 12.445    ;
160  ;152 ;160;6,0 ;9,0 ;15;104  ;8,58 ;38,77 ;30,44 ; 1.673    ; 220    ; 123    ;6,57 ; 616    ;76,9  ;58,8  ;3,98 ;12,2  ; 31.410    ;57,2  ;4,26;930,5  ;118,9  ; 5.883,5  ;399,1  ; 2.823,2  ;197,64 ;2853,3  ; 19.768    ;
180  ;171 ;180;6,0 ;9,5 ;15;122  ;9,69 ;45,25 ;35,52 ; 2.510    ; 294    ; 162    ;7,45 ; 925    ; 103    ;78,2  ;4,52 ;14,8  ; 60.211    ;72,7  ;4,82; 1.086    ;134,3  ; 7.796,5  ;473,9  ; 3.755,9  ;243,93 ;3826,7  ; 29.826    ;
200  ;190 ;200;6,5 ;10,0 ;18;134  ;11,70 ;53,83 ;42,26 ; 3.692    ; 389    ; 215    ;8,28 ; 1.336    ; 134    ; 102    ;4,98 ;21,0  ; 108.000    ;90,0  ;5,32; 1.292    ;162,1  ; 10.308    ;554,3  ; 4.891,6  ;303,59 ;4988,3  ; 43.200    ;
220  ;210 ;220;7,0 ;11,0 ;18;152  ;13,93 ;64,34 ;50,51 ; 5.410    ; 515    ; 284    ;9,17 ; 1.955    ; 178    ; 135    ;5,51 ;28,5  ; 193.266    ;109    ;5,88; 1.544    ;193,0  ; 13.643    ;670,7  ; 6.494,3  ;401,55 ;6673,0  ; 63.569    ;
240  ;230 ;240;7,5 ;12,0 ;21;164  ;16,35 ;76,84 ;60,32 ; 7.763    ; 675    ; 372    ;10,1  ; 2.769    ; 231    ; 176    ;6,00 ;41,6  ; 328.486    ;131    ;6,40; 1.844    ;226,6  ; 17.871    ;798,1  ; 8.440,6  ;518,68 ;8699,6  ; 90.409    ;
260  ;250 ;260;7,5 ;12,5 ;24;177  ;17,81 ;86,82 ;68,15 ; 10.455    ; 836    ; 460    ;11,0  ; 3.668    ; 282    ; 215    ;6,50 ;52,4  ; 516.352    ;154    ;6,91; 2.084    ;246,8  ; 22.074    ;900,7  ; 10.324    ;603,58 ; 10.695    ; 120.413    ;
280  ;270 ;280;8,0 ;13,0 ;24;196  ;20,56 ;97,26 ;76,35 ; 13.673    ; 1.013    ; 556    ;11,9  ; 4.763    ; 340    ; 259    ;7,00 ;62,1  ; 785.367    ;180    ;7,46; 2.334    ;284,9  ; 26.693    ; 1.009    ; 12.435    ;708,96 ; 12.962    ; 157.161    ;
300  ;290 ;300;8,5 ;14,0 ;27;208  ;23,46 ;112,5  ;88,33 ; 18.263    ; 1.260    ; 692    ;12,7  ; 6.310    ; 421    ; 321    ;7,49 ;85,2  ; 1.199.772    ;207    ;7,98; 2.701    ;325,1  ; 33.198    ; 1.164    ; 15.388    ;877,67 ; 16.062    ; 208.656    ;
