HEB;h;b;ts;tg;r;h - 2c;ASteg;A;G;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;iz,g;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;
;mm;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;cm;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100  ;100 ;100;6,0 ;10,0 ;12;56  ;5,40 ;26,04 ;20,44 ; 450    ;89,9  ;52,1  ;4,16 ; 167    ;33,5  ;25,7  ;2,53 ;9,25 ; 3.375    ;22,5  ;2,69; 625    ;74,8  ; 2.501    ; 277    ; 1.234    ; 144    ; 1.247    ; 5.400    ;
120  ;120 ;120;6,5 ;11,0 ;12;74  ;7,09 ;34,01 ;26,69 ; 864    ; 144    ;82,6  ;5,04 ; 318    ;52,9  ;40,5  ;3,06 ;13,84 ; 9.410    ;32,7  ;3,24; 816    ;98,2  ; 3.965    ; 366    ; 1.943    ; 210    ; 1.994    ; 10.359    ;
140  ;140 ;140;7,0 ;12,0 ;12;92  ;8,96 ;42,96 ;33,72 ; 1.509    ; 216    ;123    ;5,93 ; 550    ;78,5  ;59,9  ;3,58 ;20,06 ; 22.479    ;44,8  ;3,80; 1.031    ; 124    ; 5.890    ; 466    ; 2.875    ; 292    ; 2.980    ; 18.063    ;
160  ;160 ;160;8,0 ;13,0 ;15;104  ;11,76 ;54,25 ;42,59 ; 2.492    ; 311    ; 177    ;6,78 ; 889    ;111    ;85,0  ;4,05 ;31,2  ; 47.943    ;58,8  ;4,31; 1.302    ; 163    ; 8.495    ; 576    ; 4.079    ; 398    ; 4.237    ; 29.353    ;
180  ;180 ;180;8,5 ;14,0 ;15;122  ;14,11 ;65,25 ;51,22 ; 3.831    ; 426    ; 241    ;7,66 ; 1.363    ; 151    ;116    ;4,57 ;42,2  ; 93.746    ;74,7  ;4,87; 1.566    ; 196    ; 11.555    ; 698    ; 5.544    ; 518    ; 5.796    ; 45.179    ;
200  ;200 ;200;9,0 ;15,0 ;18;134  ;16,65 ;78,08 ;61,29 ; 5.696    ; 570    ; 321    ;8,54 ; 2.003    ; 200    ; 153    ;5,07 ;59,3  ; 171.125    ;92,5  ;5,39; 1.874    ; 231    ; 15.421    ; 831    ; 7.339    ; 660    ; 7.690    ; 66.600    ;
220  ;220 ;220;9,5 ;16,0 ;18;152  ;19,38 ;91,04 ;71,47 ; 8.091    ; 736    ; 414    ;9,43 ; 2.843    ; 258    ; 197    ;5,59 ;76,6  ; 295.418    ;112    ;5,95; 2.185    ; 269    ; 19.849    ; 975    ; 9.453    ; 825    ; 9.950    ; 94.787    ;
240  ;240 ;240;10,0 ;17,0 ;21;164  ;22,30 ;106,0  ;83,20 ; 11.259    ; 938    ; 527    ;10,3  ; 3.923    ; 327    ; 249    ;6,08 ;103    ; 486.946    ;134    ;6,47; 2.544    ; 309    ; 25.275    ; 1.131    ; 11.962    ; 1.015    ; 12.607    ; 131.017    ;
260  ;260 ;260;10,0 ;17,5 ;24;177  ;24,25 ;118,4  ;92,98 ; 14.919    ; 1.148    ; 641    ;11,2  ; 5.135    ; 395    ; 301    ;6,58 ;124    ; 753.651    ;158    ;6,99; 2.843    ; 336    ; 30.790    ; 1.261    ; 14.454    ; 1.159    ; 15.289    ; 172.127    ;
280  ;280 ;280;10,5 ;18,0 ;24;196  ;27,51 ;131,4  ;103,1  ; 19.270    ; 1.376    ; 767    ;12,1  ; 6.595    ; 471    ; 359    ;7,09 ;144    ; 1.130.155    ;183    ;7,54; 3.153    ; 381    ; 36.826    ; 1.397    ; 17.222    ; 1.330    ; 18.297    ; 221.841    ;
300  ;300 ;300;11,0 ;19,0 ;27;208  ;30,91 ;149,1  ;117,0  ; 25.166    ; 1.678    ; 934    ;13,0  ; 8.563    ; 571    ; 435    ;7,58 ;185    ; 1.687.791    ;211    ;8,06; 3.578    ; 428    ; 44.848    ; 1.580    ; 20.883    ; 1.585    ; 22.194    ; 288.306    ;
320  ;320 ;300;11,5 ;20,5 ;27;225  ;34,44 ;161,3  ;126,7  ; 30.824    ; 1.926    ; 1.075    ;13,8  ; 9.239    ; 616    ; 470    ;7,57 ; 225    ; 2.068.712    ;225    ;8,06; 3.872    ; 477    ; 51.582    ; 1.704    ; 22.538    ; 1.836    ; 25.522    ; 331.547    ;
