HEM;h;b;ts;tg;r;h - 2c;ASteg;A;G;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;iz,g;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;
;mm;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;cm;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100  ;120 ;106;12,0 ;20,0 ;12;56  ;12,00 ;53,24 ;41,79 ; 1.143    ; 190    ;118    ;4,63 ; 399    ;75,3  ;58,2  ;2,74 ;68,21 ; 9.925    ;26,5  ;2,90; 1.278    ;166    ; 5.660    ; 588    ; 2.792    ; 586    ; 2.938    ; 13.483    ;
120  ;140 ;126;12,5 ;21,0 ;12;74  ;14,88 ;66,41 ;52,13 ; 2.018    ; 288    ;175    ;5,51 ; 703    ;112    ;85,8  ;3,25 ;91,66 ; 24.786    ;37,5  ;3,45; 1.594    ;206    ; 8.415    ; 733    ; 4.119    ; 776    ; 4.363    ; 23.804    ;
140  ;160 ;146;13,0 ;22,0 ;12;92  ;17,94 ;80,56 ;63,24 ; 3.291    ; 411    ;247    ;6,39 ; 1.144    ;157    ;120    ;3,77 ;120,0  ; 54.329    ;50,4  ;4,00; 1.933    ; 249    ; 11.852    ; 890    ; 5.772    ; 994    ; 6.142    ; 38.829    ;
160  ;180 ;166;14,0 ;23,0 ;15;104  ;21,98 ;97,05 ;76,19 ; 5.098    ; 566    ; 337    ;7,25 ; 1.759    ;212    ;163    ;4,26 ;162,4  ; 108.054    ;65,2  ;4,53; 2.329    ; 305    ; 16.190    ; 1.058    ; 7.811    ; 1.253    ; 8.306    ; 59.703    ;
180  ;200 ;186;14,5 ;24,0 ;15;122  ;25,52 ;113,3  ;88,90 ; 7.483    ; 748    ; 442    ;8,13 ; 2.580    ; 277    ;213    ;4,77 ;203,3  ; 199.326    ;81,8  ;5,08; 2.718    ; 354    ; 21.203    ; 1.237    ; 10.205    ; 1.534    ; 10.886    ; 87.680    ;
200  ;220 ;206;15,0 ;25,0 ;18;134  ;29,25 ;131,3  ;103,1  ; 10.642    ; 967    ; 568    ;9,00 ; 3.651    ; 354    ; 272    ;5,27 ;259,4  ; 346.258    ;100    ;5,61; 3.151    ; 405    ; 27.244    ; 1.427    ; 13.037    ; 1.847    ; 13.915    ; 124.125    ;
220  ;240 ;226;15,5 ;26,0 ;18;152  ;33,17 ;149,4  ;117,3  ; 14.605    ; 1.217    ; 710    ;9,89 ; 5.012    ; 444    ; 339    ;5,79 ;315,3  ; 572.684    ;121    ;6,16; 3.587    ; 460    ; 34.067    ; 1.628    ; 16.285    ; 2.195    ; 17.424    ; 170.512    ;
240  ;270 ;248;18,0 ;32,0 ;21;164  ;42,84 ;199,6  ;156,7  ; 24.289    ; 1.799    ; 1.058    ;11,0  ; 8.153    ; 657    ; 503    ;6,39 ;628    ; 1.151.987    ;148    ;6,78; 4.790    ; 594    ; 50.807    ; 2.199    ; 24.142    ; 3.573    ; 26.172    ; 281.049    ;
260  ;290 ;268;18,0 ;32,5 ;24;177  ;46,35 ;219,6  ;172,4  ; 31.307    ; 2.159    ; 1.262    ;11,9  ; 10.449    ; 780    ; 596    ;6,90 ;719    ; 1.728.347    ;173    ;7,31; 5.271    ; 642    ; 60.567    ; 2.414    ; 28.619    ; 3.985    ; 31.077    ; 360.646    ;
280  ;310 ;288;18,5 ;33,0 ;24;196  ;51,25 ;240,2  ;188,5  ; 39.547    ; 2.551    ; 1.483    ;12,8  ; 13.163    ; 914    ; 698    ;7,40 ;807    ; 2.520.227    ;199    ;7,86; 5.764    ; 710    ; 71.175    ; 2.634    ; 33.520    ; 4.444    ; 36.478    ; 454.915    ;
300  ;340 ;310;21,0 ;39,0 ;27;208  ;63,21 ;303,1  ;237,9  ; 59.201    ; 3.482    ; 2.039    ;14,0  ; 19.403    ; 1.252    ; 957    ;8,00 ;1408    ; 4.386.028    ;233    ;8,47; 7.274    ; 876    ; 97.864    ; 3.350    ; 45.916    ; 6.587    ; 50.425    ; 676.871    ;
