HP;h;b;ts;tg;r;h - 2c;ASteg;A;G;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;iz,g;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;
;mm;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;cm;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220 X 57,2;210 ;224,5 ;11,0 ;11,0 ;18,0 ;152  ;21,89 ;72,85 ;57,19 ; 5.729    ; 546    ;307    ;8,87 ; 2.079    ; 185    ; 143    ;5,34 ;44,2  ; 205.370    ; 112    ;5,86 ; 1.748    ; 303    ; 14.728    ; 684    ; 6.853    ; 530    ; 6.809    ; 66.196    ;
260 X 75;249 ;265,0 ;12,0 ;12,0 ;24,0 ;177  ;28,44 ;95,54 ;75,00 ; 10.646    ; 855    ;479    ;10,6  ; 3.733    ; 282    ; 218    ;6,25 ;79,3  ; 522.642    ; 157    ;6,86 ; 2.293    ; 394    ; 23.004    ; 881    ; 10.442    ; 748    ; 10.443    ; 119.832    ;
260 X 87,3;253 ;267,0 ;14,0 ;14,0 ;24,0 ;177  ;33,46 ;111,2  ;87,30 ; 12.586    ; 995    ;562    ;10,6  ; 4.455    ; 334    ; 258    ;6,33 ; 116    ; 634.229    ; 160    ;6,94 ; 2.669    ; 464    ; 26.965    ; 1.036    ; 12.388    ; 1.022    ; 12.379    ; 143.120    ;
305 X 88;302 ;307,2 ;12,3 ;12,3 ;15,2 ;247  ;35,60 ;111,6  ;87,64 ; 18.376    ; 1.218    ; 678    ;12,8  ; 5.949    ; 387    ; 296    ;7,30 ;69,3  ; 1.244.384    ; 222    ;8,08 ; 2.679    ; 493    ; 32.554    ; 1.047    ; 14.226    ; 928    ; 15.152    ; 201.557    ;
305 X 95;304 ;308,3 ;13,4 ;13,4 ;15,2 ;247  ;38,91 ;121,7  ;95,55 ; 20.168    ; 1.328    ; 742    ;12,9  ; 6.552    ; 425    ; 326    ;7,34 ;88,5  ; 1.379.772    ; 224    ;8,11 ; 2.921    ; 539    ; 35.605    ; 1.145    ; 15.630    ; 1.104    ; 16.624    ; 221.922    ;
305 X 110;308 ;310,3 ;15,4 ;15,4 ;15,2 ;247  ;45,05 ;140,2  ;110,1  ; 23.554    ; 1.530    ; 860    ;13,0  ; 7.680    ; 495    ; 380    ;7,40 ; 132    ; 1.640.237    ; 227    ;8,18 ; 3.365    ; 624    ; 41.284    ; 1.324    ; 18.241    ; 1.463    ; 19.368    ; 260.232    ;
305 X 126;312 ;312,5 ;17,7 ;17,7 ;15,2 ;247  ;52,16 ;161,6  ;126,9  ; 27.545    ; 1.763    ; 998    ;13,1  ; 9.019    ; 577    ; 444    ;7,47 ; 199    ; 1.954.665    ; 230    ;8,26 ; 3.879    ; 723    ; 47.913    ; 1.533    ; 21.321    ; 1.940    ; 22.587    ; 305.636    ;
305 X 149;319 ;315,6 ;20,7 ;20,7 ;15,2 ;247  ;61,64 ;190,0  ;149,2  ; 33.048    ; 2.075    ; 1.185    ;13,2  ; 10.869    ; 689    ; 532    ;7,56 ; 316    ; 2.404.471    ; 235    ;8,35 ; 4.560    ; 854    ; 56.872    ; 1.810    ; 25.519    ; 2.667    ; 26.958    ; 368.401    ;
305 X 180;327 ;319,7 ;24,8 ;24,8 ;15,2 ;247  ;74,87 ;229,3  ;180,0  ; 40.973    ; 2.508    ; 1.448    ;13,4  ; 13.546    ; 847    ; 657    ;7,69 ; 542    ; 3.077.475    ; 241    ;8,48 ; 5.503    ; 1.037    ; 69.516    ; 2.197    ; 31.515    ; 3.855    ; 33.167    ; 459.147    ;
305 X 186;328 ;320,5 ;25,6 ;25,6 ;15,2 ;247  ;77,49 ;237,0  ;186,1  ; 42.580    ; 2.594    ; 1.501    ;13,4  ; 14.091    ; 879    ; 682    ;7,71 ; 596    ; 3.217.642    ; 243    ;8,51 ; 5.688    ; 1.074    ; 72.044    ; 2.274    ; 32.722    ; 4.114    ; 34.414    ; 477.595    ;
305 X 223;338 ;325,4 ;30,5 ;30,5 ;15,2 ;247  ;93,79 ;285,0  ;223,7  ; 52.840    ; 3.127    ; 1.832    ;13,6  ; 17.587    ; 1.081    ; 841    ;7,86 ; 1.011    ; 4.140.297    ; 250    ;8,65 ; 6.839    ; 1.300    ; 87.929    ; 2.750    ; 40.389    ; 5.887    ; 42.288    ; 595.842    ;
