IPE;h;b;ts;tg;r;h - 2c;ASteg;A;G;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;iz,g;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w 
;mm;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;cm;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80  ;80 ;46;3,8 ;5,2 ;5;60  ;2,84 ;7,64 ;6,00 ;80,1  ;20,0  ;11,6  ;3,24 ;8,49 ;3,69 ;2,91 ;1,05 ;0,70 ; 118    ;8,60 ;1,18; 183    ;39,4  ; 557    ;66,3  ; 140    ;21    ; 248    ; 494    
100  ;100 ;55;4,1 ;5,7 ;7;75  ;3,87 ;10,32 ;8,10 ; 171    ;34,2  ;19,7  ;4,07 ;15,9  ;5,79 ;4,57 ;1,24 ;1,20 ; 351    ;13,0  ;1,40; 248    ;53,6  ; 946    ;86,9  ; 219    ;31    ; 410    ; 976    
120  ;120 ;64;4,4 ;6,3 ;7;93  ;5,00 ;13,21 ;10,37 ; 318    ;53,0  ;30,4  ;4,90 ;27,7  ;8,65 ;6,79 ;1,45 ;1,74 ; 890    ;18,2  ;1,63; 317    ;69,3  ; 1.457    ; 112    ; 326    ;44    ; 635    ; 1.760    
140  ;140 ;73;4,7 ;6,9 ;7;112  ;6,26 ;16,43 ;12,89 ; 541    ;77,3  ;44,2  ;5,74 ;44,9  ;12,3  ;9,62 ;1,65 ;2,45 ; 1.981    ;24,3  ;1,87; 394    ;86,7  ; 2.120    ; 140    ; 462    ;59    ; 929    ; 2.936    
160  ;160 ;82;5,0 ;7,4 ;9;127  ;7,63 ;20,09 ;15,77 ; 869    ; 109    ;61,9  ;6,58 ;68,3  ;16,7  ;13,0  ;1,84 ;3,60 ; 3.959    ;31,3  ;2,08; 482    ; 106    ; 2.973    ; 168    ; 626    ;76    ; 1.283    ; 4.556    
180  ;180 ;91;5,3 ;8,0 ;9;146  ;9,12 ;23,95 ;18,80 ; 1.317    ; 146    ;83,2  ;7,42 ; 101    ;22,2  ;17,3  ;2,05 ;4,79 ; 7.431    ;39,1  ;2,32; 575    ; 126    ; 3.994    ; 202    ; 830    ;98    ; 1.735    ; 6.837    
200  ;200 ;100;5,6 ;8,5 ;12;159  ;10,72 ;28,48 ;22,36 ; 1.943    ; 194    ; 110    ;8,26 ; 142    ;28,5  ;22,3  ;2,24 ;6,98 ; 12.988    ;47,9  ;2,52; 684    ; 149    ; 5.295    ; 236    ; 1.071    ;122    ; 2.255    ; 9.767    
220  ;220 ;110;5,9 ;9,2 ;12;178  ;12,44 ;33,37 ;26,20 ; 2.772    ; 252    ; 143    ;9,11 ; 205    ;37,3  ;29,1  ;2,48 ;9,07 ; 22.672    ;58,0  ;2,79; 801    ; 172    ; 6.850    ; 280    ; 1.395    ;155    ; 2.956    ; 14.080    
240  ;240 ;120;6,2 ;9,8 ;15;190  ;14,27 ;39,12 ;30,71 ; 3.892    ; 324    ; 183    ;9,97 ; 284    ;47,3  ;37,0  ;2,69 ;12,9  ; 37.391    ;69,1  ;3,03; 939    ; 198    ; 8.799    ; 326    ; 1.774    ;190    ; 3.751    ; 19.491    
270  ;270 ;135;6,6 ;10,2 ;15;220  ;17,15 ;45,95 ;36,07 ; 5.790    ; 429    ; 242    ;11,2  ; 420    ;62,2  ;48,5  ;3,02 ;15,9  ; 70.578    ;87,7  ;3,41; 1.103    ; 238    ; 11.616    ; 382    ; 2.327    ;236    ; 4.957    ; 28.977    
300  ;300 ;150;7,1 ;10,7 ;15;249  ;20,54 ;53,81 ;42,24 ; 8.356    ; 557    ; 314    ;12,5  ; 604    ;80,5  ;62,6  ;3,35 ;20,1  ; 125.934    ; 108    ;3,79; 1.291    ; 285    ; 15.081    ; 445    ; 3.005    ;294    ; 6.434    ; 41.789    
330  ;330 ;160;7,5 ;11,5 ;18;271  ;23,89 ;62,61 ;49,15 ; 11.767    ; 713    ; 402    ;13,7  ; 788    ;98,5  ;76,8  ;3,55 ;28,1  ; 199.097    ; 127    ;4,02; 1.503    ; 331    ; 19.304    ; 510    ; 3.688    ;361    ; 8.120    ; 56.260    
