IPEo;h;b;ts;tg;r;h - 2c;ASteg;A;G;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;iz,g;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;
;mm;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;cm;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180    ;182  ;92  ;6,0  ;9,0  ;9  ;146,0 ;10,38 ;27,10 ;21,27 ; 1.505    ; 165    ;94,6  ;7,45 ; 117    ;25,5  ;20,0  ;2,08 ;6,76 ; 8.740    ;39,8  ;2,35 ; 650    ; 144    ; 4.540    ; 229    ; 958    ; 126    ; 1.985    ; 7.907    ;
200    ;202  ;102  ;6,2  ;9,5  ;12  ;159,0 ;11,94 ;31,96 ;25,09 ; 2.211    ; 219    ; 125    ;8,32 ; 169    ;33,1  ;25,9  ;2,30 ;9,45 ; 15.566    ;49,1  ;2,59 ; 767    ; 165    ; 5.986    ; 269    ; 1.245    ; 154    ; 2.585    ; 11.416    ;
220    ;222  ;112  ;6,6  ;10,2  ;12  ;177,6 ;13,98 ;37,39 ;29,35 ; 3.134    ; 282    ; 161    ;9,16 ; 240    ;42,8  ;33,5  ;2,53 ;12,3  ; 26.785    ;59,3  ;2,85 ; 897    ; 194    ; 7.708    ; 317    ; 1.606    ; 194    ; 3.353    ; 16.260    ;
240    ;242  ;122  ;7,0  ;10,8  ;15  ;190,4 ;16,18 ;43,71 ;34,31 ; 4.369    ; 361    ; 205    ;10,0  ; 329    ;53,9  ;42,2  ;2,74 ;17,2  ; 43.678    ;70,5  ;3,09 ; 1.049    ; 224    ; 9.847    ; 365    ; 2.026    ; 237    ; 4.221    ; 22.299    ;
270    ;274  ;136  ;7,5  ;12,2  ;15  ;219,6 ;19,64 ;53,84 ;42,26 ; 6.947    ; 507    ; 287    ;11,4  ; 513    ;75,5  ;58,9  ;3,09 ;24,9  ; 87.640    ;89,0  ;3,47 ; 1.292    ; 272    ; 13.792    ; 460    ; 2.825    ; 328    ; 6.019    ; 35.445    ;
300    ;304  ;152  ;8,0  ;12,7  ;15  ;248,6 ;23,30 ;62,83 ;49,32 ; 9.994    ; 658    ; 372    ;12,6  ; 746    ;98,1  ;76,3  ;3,45 ;31,1  ; 157.690    ;111    ;3,88 ; 1.508    ; 323    ; 17.852    ; 535    ; 3.662    ; 403    ; 7.792    ; 51.284    ;
330    ;334  ;162  ;8,5  ;13,5  ;18  ;271,0 ;27,24 ;72,62 ;57,00 ; 13.910    ; 833    ; 471    ;13,8  ; 960    ;119    ;92,5  ;3,64 ;42,2  ; 245.654    ;130    ;4,10 ; 1.743    ; 377    ; 22.627    ; 606    ; 4.440    ; 489    ; 9.712    ; 68.131    ;
360    ;364  ;172  ;9,2  ;14,7  ;18  ;298,6 ;32,14 ;84,13 ;66,04 ; 19.047    ; 1.047    ; 593    ;15,0  ; 1.251    ;145    ;113    ;3,86 ;55,8  ; 380.267    ;150    ;4,36 ; 2.019    ; 445    ; 28.466    ; 701    ; 5.446    ; 616    ; 12.238    ; 91.143    ;
400    ;404  ;182  ;9,7  ;15,5  ;21  ;331,0 ;37,68 ;96,39 ;75,66 ; 26.747    ; 1.324    ; 751    ;16,7  ; 1.564    ;172    ;135    ;4,03 ;73,1  ; 587.647    ;177    ;4,57 ; 2.313    ; 522    ; 36.052    ; 782    ; 6.458    ; 732    ; 15.186    ; 119.679    ;
450    ;456  ;192  ;11,0  ;17,6  ;21  ;378,8 ;48,22 ;117,7  ;92,36 ; 40.923    ; 1.795    ; 1.023    ;18,6  ; 2.085    ;217    ;170    ;4,21 ;109    ; 997.576    ;210    ;4,81 ; 2.824    ; 668    ; 49.110    ; 936    ; 8.184    ; 1.005    ; 20.527    ; 170.662    ;
500    ;506  ;202  ;12,0  ;19,0  ;21  ;426,0 ;58,44 ;136,7  ;107,3  ; 57.777    ; 2.284    ; 1.306    ;20,6  ; 2.622    ;260    ;204    ;4,38 ;143    ; 1.547.585    ; 246    ;5,04 ; 3.281    ; 810    ; 62.712    ; 1.064    ; 9.805    ; 1.255    ; 25.899    ; 226.536    ;
550    ;556  ;212  ;12,7  ;20,2  ;24  ;467,6 ;68,05 ;156,1  ;122,5  ; 79.157    ; 2.847    ; 1.632    ;22,5  ; 3.224    ;304    ;240    ;4,55 ;188    ; 2.302.253    ; 284    ;5,25 ; 3.746    ; 943    ;78321    ; 1.187    ; 11.532    ; 1.500    ; 31.794    ; 291.862    ;
600    ;610  ;224  ;15,0  ;24,0  ;24  ;514,0 ;87,90 ;196,8  ;154,5  ; 118.302    ; 3.879    ; 2.236    ;24,5  ; 4.521    ; 404    ;320    ;4,79 ;318    ; 3.859.573    ; 328    ;5,56 ; 4.722    ; 1.218    ;107305    ; 1.490    ; 15.362    ; 2.232    ; 43.652    ; 423.405    ;
