UPE;h;b;ts;tg;r;ASteg;A;G;ey;yM;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;A1;A2;05A;b3;0_6551r;
;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm;cm;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;cm2;cm2;cm2;cm;cm;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80  ;80 ;50 ;4,0 ;7,0  ;10;2,92 ;10,07 ;7,90 ;1,82 ;3,71 ; 107    ;26,8  ;15,6  ;3,26 ;25,41 ;7,98 ;7,09 ;1,59 ;1,44 ; 237    ;9,87 ; 242    ;40,5  ; 712    ; 093    ; 335    ;35,9  ; 340    ; 980    ;320;504;503;13,14;6,55;
100  ;100 ;55 ;4,5 ;7,5  ;10;4,16 ;12,50 ;9,82 ;1,91 ;3,93 ; 207    ;41,4  ;24,0  ;4,07 ;38,21 ;10,6  ;9,7  ;1,75 ;1,99 ; 568    ;14,0  ; 300    ;57,7  ; 1.085    ;110    ; 453    ;47,2  ; 507    ; 1.687    ;450;608;625;9,34;6,55;
120  ;120 ;60 ;5,0 ;8,0  ;12;5,60 ;15,42 ;12,10 ;1,98 ;4,12 ; 364    ;60,6  ;35,2  ;4,86 ;55,40 ;13,8  ;12,9  ;1,90 ;2,84 ; 1.197    ;18,8  ; 370    ;77,6  ; 1.576    ;127    ; 595    ;61,0  ; 714    ; 2.695    ;600;688;771;6,88;7,86;
140  ;140 ;65 ;5,0 ;9,0  ;12;6,55 ;18,42 ;14,46 ;2,17 ;4,54 ; 599    ;85,6  ;49,4  ;5,71 ;78,70 ;18,2  ;16,8  ;2,07 ;3,99 ; 2.337    ;23,8  ; 442    ; 091    ; 2.220    ;156    ; 782    ;79,6  ; 1.021    ; 4.138    ;700;864;921;8,90;7,86;
160  ;160 ;70 ;5,5 ;9,5  ;12;8,28 ;21,67 ;17,01 ;2,27 ;4,76 ; 911    ; 114    ;65,8  ;6,48 ;106,8  ;22,6  ;21,3  ;2,22 ;5,17 ; 4.180    ;29,8  ; 520    ; 115    ; 2.936    ;177    ; 977    ;98,6  ; 1.332    ; 5.986    ;880;998;1.084;7,47;7,86;
180  ;180 ;75 ;5,5 ;10,5  ;12;9,32 ;25,11 ;19,71 ;2,47 ;5,19 ; 1.353    ; 150    ;86,5  ;7,34 ;143,7  ;28,6  ;26,6  ;2,39 ;7,00 ; 7.158    ;35,8  ; 603    ; 129    ; 3.870    ;210    ; 1.231    ;124    ; 1.782    ; 8.473    ;990;1.208;1.256;9,91;7,86;
200  ;200 ;80 ;6,0 ;11,0  ;13;11,34 ;29,01 ;22,77 ;2,56 ;5,41 ; 1.909    ; 191    ; 110    ;8,11 ;187,3  ;34,4  ;32,6  ;2,54 ;8,9  ; 11.565    ;43,0  ; 696    ; 157    ; 4.897    ;235    ; 1.493    ;149    ; 2.218    ; 11.518    ;1.200;1.342;1.450;8,09;8,52;
220  ;220 ;85 ;6,5 ;12,0  ;13;13,52 ;33,87 ;26,58 ;2,70 ;5,70 ; 2.682    ; 244    ; 141    ;8,90 ;246,4  ;42,5  ;40,3  ;2,70 ;12,1  ; 18.441    ;50,5  ; 813    ; 187    ; 6.251    ;272    ; 1.845    ;188    ; 2.827    ; 15.717    ;1.430;1.572;1.693;7,96;8,52;
240  ;240 ;90 ;7,0 ;12,5  ;15;15,93 ;38,52 ;30,23 ;2,79 ;5,91 ; 3.599    ; 300    ; 173    ;9,67 ;310,9  ;50,1  ;48,2  ;2,84 ;15,1  ; 27.762    ;58,9  ; 924    ; 221    ; 7.671    ;300    ; 2.180    ;222    ; 3.408    ; 20.437    ;1.680;1.700;1.926;6,43;9,83;
