HEAA;h;b;ts;tg;r;h - 2c;ASteg;A;G;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;iz,g;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;
;mm;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;cm;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100  ;91 ;100;4,2 ;5,5 ;12;56  ;3,59 ;15,60 ;12,24 ; 237    ;52,0  ;29,2  ;3,89 ;92,1  ;18,4  ;14,2  ;2,43 ;2,51 ; 1.675    ;21,4  ;2,60; 374    ;49,8  ; 1.401    ; 152    ; 683    ;48,5  ; 652    ; 2.822    ;
120  ;109 ;120;4,2 ;5,5 ;12;74  ;4,35 ;18,55 ;14,56 ; 413    ;75,8  ;42,1  ;4,72 ; 159    ;26,5  ;20,3  ;2,93 ;2,78 ; 4.242    ;31,1  ;3,14; 445    ;60,2  ; 2.019    ; 183    ; 975    ;58,6  ; 947    ; 4.918    ;
140  ;128 ;140;4,3 ;6,0 ;12;92  ;5,25 ;23,02 ;18,07 ; 719    ; 112    ;61,9  ;5,59 ; 275    ;39,3  ;30,0  ;3,45 ;3,54 ; 10.210    ;42,7  ;3,70; 553    ;72,7  ; 2.971    ; 233    ; 1.438    ;79,3  ; 1.420    ; 8.608    ;
160  ;148 ;160;4,5 ;7,0 ;15;104  ;6,35 ;30,36 ;23,83 ; 1.283    ; 173    ;95,2  ;6,50 ; 479    ;59,8  ;45,7  ;3,97 ;6,33 ; 23.751    ;56,4  ;4,23; 729    ;87,9  ; 4.570    ; 310    ; 2.193    ; 119    ; 2.188    ; 15.160    ;
180  ;167 ;180;5,0 ;7,5 ;15;122  ;7,98 ;36,53 ;28,68 ; 1.967    ; 236    ; 129    ;7,34 ; 730    ;81,1  ;61,8  ;4,47 ;8,33 ; 46.365    ;71,8  ;4,78; 877    ; 111    ; 6.198    ; 374    ; 2.966    ; 155    ; 2.984    ; 23.255    ;
200  ;186 ;200;5,5 ;8,0 ;18;134  ;9,79 ;44,13 ;34,64 ; 2.944    ; 317    ; 174    ;8,17 ; 1.068    ; 107    ;81,6  ;4,92 ;12,7  ; 84.491    ;89,0  ;5,27; 1.059    ; 136    ; 8.329    ; 443    ; 3.916    ; 199    ; 3.946    ; 34.176    ;
220  ;205 ;220;6,0 ;8,5 ;18;152  ;11,79 ;51,46 ;40,40 ; 4.170    ; 407    ; 223    ;9,00 ; 1.510    ; 137    ; 105    ;5,42 ;15,9  ; 145.613    ;108    ;5,81; 1.235    ; 163    ; 10.692    ; 518    ; 5.024    ; 250    ; 5.092    ; 48.504    ;
240  ;224 ;240;6,5 ;9,0 ;21;164  ;13,98 ;60,38 ;47,39 ; 5.835    ; 521    ; 285    ;9,83 ; 2.077    ; 173    ; 132    ;5,87 ;23,0  ; 239.630    ;129    ;6,30; 1.449    ; 194    ; 13.694    ; 599    ; 6.345    ; 309    ; 6.435    ; 66.874    ;
260  ;244 ;260;6,5 ;9,5 ;24;177  ;15,24 ;68,97 ;54,14 ; 7.981    ; 654    ; 357    ;10,8  ; 2.788    ; 214    ; 164    ;6,36 ;30,3  ; 382.576    ;152    ;6,81; 1.655    ; 211    ; 17.147    ; 685    ; 7.866    ; 365    ; 8.026    ; 90.358    ;
280  ;264 ;280;7,0 ;10,0 ;24;196  ;17,78 ;78,02 ;61,25 ; 10.558    ; 800    ; 437    ;11,6  ; 3.664    ; 262    ; 200    ;6,85 ;36,2  ; 590.106    ;178    ;7,35; 1.873    ; 246    ; 20.953    ; 776    ; 9.585    ; 440    ; 9.855    ; 119.482    ;
300  ;283 ;300;7,5 ;10,5 ;27;208  ;20,44 ;88,91 ;69,79 ; 13.804    ; 976    ; 533    ;12,5  ; 4.734    ; 316    ; 241    ;7,30 ;49,3  ; 877.152    ;204    ;7,83; 2.134    ; 283    ; 25.567    ; 873    ; 11.575    ; 525    ; 11.894    ; 154.508    ;
320  ;301 ;300;8,0 ;11,0 ;27;225  ;23,20 ;94,58 ;74,24 ; 16.447    ; 1.093    ; 598    ;13,2  ; 4.959    ; 331    ; 253    ;7,24 ;55,9  ; 1.040.738    ;218    ;7,82; 2.270    ; 321    ; 28.709    ; 915    ; 12.138    ; 586    ; 13.261    ; 172.260    ;
