UAP;h;b;ts;tg;r;ASteg;A;G;ey;yM;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;A1;A2;05A;b3;0,6551r;
;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm;cm;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;cm2;cm2;cm2;cm;cm;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80  ;80 ;45;5,0 ;8,0  ;8,0  ;3,60 ;10,67 ;8,38 ;1,61 ;3,17 ; 107    ;26,8  ;15,9  ;3,17 ;21,3  ;7,38 ;6,68 ;1,41 ;1,94 ; 192    ;8,80 ; 256    ;49,9  ; 723    ;94,2  ; 313    ;43,5  ; 339    ; 911    ;400;512;534;6,79;5,24;
100  ;100 ;50;5,5 ;8,5  ;8,5  ;5,03 ;13,38 ;10,50 ;1,70 ;3,38 ; 209    ;41,9  ;24,8  ;3,96 ;32,8  ;9,95 ;9,26 ;1,57 ;2,70 ; 475    ;12,7  ; 321    ;69,7  ; 1.113    ;111    ; 428    ;57,2  ; 509    ; 1.592    ;550;612;669;5,17;5,57;
130  ;130 ;55;6,0 ;9,5  ;9,5  ;7,23 ;17,50 ;13,74 ;1,77 ;3,56 ; 460    ;70,7  ;41,8  ;5,12 ;51,3  ;13,8  ;13,2  ;1,71 ;4,22 ; 1.284    ;18,7  ; 420    ; 100    ; 1.854    ;137    ; 598    ;80,2  ; 825    ; 2.968    ;780;751;875;3,38;6,22;
150  ;150 ;65;7,0 ;10,25 ;10,25 ;9,78 ;22,84 ;17,93 ;2,05 ;4,15 ; 796    ; 106    ;62,6  ;5,90 ;93,3  ;21,0  ;20,3  ;2,02 ;6,62 ; 3.136    ;25,9  ; 548    ; 136    ; 2.769    ;175    ; 912    ;117    ; 1.221    ; 5.284    ;1.050;979;1.142;2,97;6,71;
175  ;175 ;70;7,5 ;10,75 ;10,75 ;12,32 ;27,06 ;21,24 ;2,12 ;4,32 ; 1.270    ; 145    ;85,7  ;6,85 ; 126    ;25,9  ;25,6  ;2,16 ;8,57 ; 5.873    ;33,3  ; 649    ; 171    ; 3.759    ;197    ; 1.128    ;145    ; 1.621    ; 7.802    ;1.313;1.113;1.353;1,17;7,04;
200  ;200 ;75;8,0 ;11,5  ;11,5  ;15,08 ;31,98 ;25,10 ;2,22 ;4,53 ; 1.946    ; 195    ; 115    ;7,80 ; 170    ;32,1  ;32,1  ;2,30 ;11,4  ; 10.397    ;41,3  ; 767    ; 209    ; 5.018    ;226    ; 1.396    ;181    ; 2.133    ; 11.213    ;1.600;1.277;1.599;-0,03;7,53;
220  ;220 ;80;8,0 ;12,5  ;12,5  ;16,60 ;36,27 ;28,47 ;2,40 ;4,94 ; 2.710    ; 246    ; 145    ;8,64 ; 222    ;39,7  ;39,2  ;2,48 ;14,6  ; 16.505    ;48,3  ; 870    ; 230    ; 6.345    ;263    ; 1.727    ;214    ; 2.731    ; 15.127    ;1.760;1.488;1.814;1,34;8,19;
250  ;250 ;85;9,0 ;13,5  ;13,5  ;21,29 ;43,80 ;34,38 ;2,45 ;5,04 ; 4.136    ; 331    ; 196    ;9,72 ; 295    ;48,9  ;49,3  ;2,60 ;20,7  ; 28.530    ;59,3  ; 1.051    ; 295    ; 8.502    ;301    ; 2.120    ;279    ; 3.561    ; 21.594    ;2.250;1.688;2.190;-1,30;8,84;
300  ;300 ;100;9,5 ;16,0  ;16,0  ;26,98 ;58,56 ;45,97 ;2,96 ;6,17 ; 8.170    ; 545    ; 320    ;11,8  ; 562    ;79,9  ;79,2  ;3,10 ;36,8  ; 78.226    ;83,0  ; 1.405    ; 374    ; 13.970    ;422    ; 3.476    ;423    ; 5.997    ; 41.785    ;2.850;2.384;2.928;1,51;10,48;
